time_since_epoch_ms,sensor_time_ns,sensor_name,sensor_type,index,value
1476880377183,68800774955834,LGE Magnetometer,android.sensor.magnetic_field,2,-44.197845458984375
1476880377183,68800788688744,LGE Accelerometer,android.sensor.accelerometer,0,0.835357666015625
1476880377183,68800788688744,LGE Accelerometer,android.sensor.accelerometer,1,-0.3570098876953125
1476880377183,68800788688744,LGE Accelerometer,android.sensor.accelerometer,2,9.885604858398438
1476880377184,68800773735131,LGE Gyroscope,android.sensor.gyroscope,0,0.0236663818359375
1476880377184,68800773735131,LGE Gyroscope,android.sensor.gyroscope,1,0.0233154296875
1476880377184,68800773735131,LGE Gyroscope,android.sensor.gyroscope,2,0.01654052734375
1476880377184,68800795097436,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377184,68800795097436,LGE Magnetometer,android.sensor.magnetic_field,1,17.142486572265625
1476880377184,68800795097436,LGE Magnetometer,android.sensor.magnetic_field,2,-44.197845458984375
1476880377184,68800808738793,LGE Accelerometer,android.sensor.accelerometer,0,0.8533172607421875
1476880377184,68800808738793,LGE Accelerometer,android.sensor.accelerometer,1,-0.3366546630859375
1476880377184,68800808738793,LGE Accelerometer,android.sensor.accelerometer,2,9.849685668945313
1476880377184,68800793785180,LGE Gyroscope,android.sensor.gyroscope,0,0.03033447265625
1476880377184,68800793785180,LGE Gyroscope,android.sensor.gyroscope,1,0.04833984375
1476880377184,68800793785180,LGE Gyroscope,android.sensor.gyroscope,2,0.01519775390625
1476880377184,68800815269555,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377184,68800815269555,LGE Magnetometer,android.sensor.magnetic_field,1,17.05341339111328
1476880377184,68800815269555,LGE Magnetometer,android.sensor.magnetic_field,2,-44.28520202636719
1476880377185,68800828819360,LGE Accelerometer,android.sensor.accelerometer,0,0.7731170654296875
1476880377185,68800828819360,LGE Accelerometer,android.sensor.accelerometer,1,-0.3618011474609375
1476880377185,68800828819360,LGE Accelerometer,android.sensor.accelerometer,2,9.494155883789063
1476880377185,68800813835229,LGE Gyroscope,android.sensor.gyroscope,0,0.0393829345703125
1476880377185,68800813835229,LGE Gyroscope,android.sensor.gyroscope,1,0.01824951171875
1476880377185,68800813835229,LGE Gyroscope,android.sensor.gyroscope,2,0.0258636474609375
1476880377185,68800835411156,LGE Magnetometer,android.sensor.magnetic_field,0,1.4926910400390625
1476880377185,68800835411156,LGE Magnetometer,android.sensor.magnetic_field,1,17.23155975341797
1476880377185,68800835411156,LGE Magnetometer,android.sensor.magnetic_field,2,-44.11048889160156
1476880377185,68800848869408,LGE Accelerometer,android.sensor.accelerometer,0,0.69171142578125
1476880377185,68800848869408,LGE Accelerometer,android.sensor.accelerometer,1,-0.3366546630859375
1476880377185,68800848869408,LGE Accelerometer,android.sensor.accelerometer,2,9.44866943359375
1476880377185,68800833915795,LGE Gyroscope,android.sensor.gyroscope,0,0.00982666015625
1476880377185,68800833915795,LGE Gyroscope,android.sensor.gyroscope,1,-0.0028076171875
1476880377185,68800833915795,LGE Gyroscope,android.sensor.gyroscope,2,0.0431671142578125
1476880377185,68800855491723,LGE Magnetometer,android.sensor.magnetic_field,0,1.2237548828125
1476880377185,68800855491723,LGE Magnetometer,android.sensor.magnetic_field,1,17.498779296875
1476880377185,68800855491723,LGE Magnetometer,android.sensor.magnetic_field,2,-43.93596649169922
